1>N/A>GO>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
2>BROWN>CRAPPER STREET>60>2>10>30>90>160>250>50>
3>N/A>POT LUCK>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
4>BROWN>GANGSTERS PARADISE>60>4>20>60>180>320>450>50>
5>N/A>INCOME TAX>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
6>STATION>BRIGHTON STATION>200>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
7>BLUE>WEEPING ANGEL>100>6>30>90>270>400>550>50>
8>N/A>OPPORTUNITY KNOCKS>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
9>BLUE>POTTS AVENUE>100>6>30>90>270>400>550>50>
10>BLUE>NARDOLE DRIVE>120>8>40>100>300>450>600>50>
11>N/A>JUST VISITING JAIL>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
12>PURPLE>SKYWALKER DRIVE>140>10>50>150>450>625>750>100>
13>UTILITIES>TESLA POWER CO>150>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
14>PURPLE>WOOKIE HOLE>140>10>50>150>450>625>750>100>
15>PURPLE>REY LANE>160>12>60>180>500>700>900>100>
16>STATION>HOVE STATION>200>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
17>ORANGE>COOPER DRIVE>180>14>70>200>550>750>950>100>
18>N/A>POT LUCK>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
19>ORANGE>WOLOWITZ STREET>180>14>70>200>550>750>950>100>
20>ORANGE>PENNY LANE>200>16>80>220>600>800>1000>100>
21>N/A>FREE PARKING>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
22>RED>YUE FEI SQUARE>220>18>90>250>700>875>1050>150>
23>N/A>OPPORTUNITY KNOCKS>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
24>RED>MULAN ROUGE>220>18>90>250>700>875>1050>150>
25>RED>HAN XIN GARDEN>240>20>100>300>750>925>1100>150>
26>STATION>FALMER STATION>200>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
27>YELLOW>KIRK CLOSE>260>22>110>330>800>975>1150>150>
28>YELLOW>PICARD AVENUE>260>22>110>330>800>975>1150>150>
29>UTILITIES>EDISON WATER>150>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
30>YELLOW>CRUSHER CREEK>280>22>120>360>850>1025>1200>150>
31>GO TO JAIL>GO TO JAIL>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
32>GREEN>SIRAT MEWS>300>26>130>390>900>1100>1275>200>
33>GREEN>GHENGIS CRESCENT>300>26>130>390>900>1100>1275>200>
34>N/A>POT LUCK>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
35>GREEN>IBIS CLOSE>320>28>150>450>1000>1200>1400>200>
36>STATION>LEWES STATION>200>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
37>N/A>OPPORTUNITY KNOCKS>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>
38>DEEP BLUE>HAWKING WAY>350>35>175>500>1100>1300>1500>200>
39>N/A>SUPER TAX>N/A>N/A>N/A>N/A>N/A>N/A>N/A>N/A>

40>DEEP BLUE>TURING HEIGHTS>400>50>200>600>1400>1700>2000>200>
